ICD10 Codes	OMIM_ID
G600	OMIM:604563,OMIM:607736,OMIM:118300,OMIM:302802,OMIM:311070,OMIM:600882,OMIM:611228,OMIM:607678,OMIM:601596,OMIM:615025,OMIM:605253,OMIM:118200,OMIM:605589,OMIM:615376,OMIM:608323,OMIM:609260,OMIM:601455,OMIM:601382,OMIM:300905,OMIM:302801,OMIM:616280,OMIM:616687,OMIM:615284,OMIM:606483,OMIM:613287,OMIM:607791,OMIM:214400,OMIM:614228,OMIM:615185,OMIM:613641,OMIM:609311,OMIM:310490,OMIM:608673,OMIM:614895,OMIM:601098,OMIM:605588,OMIM:607831,OMIM:606071,OMIM:607734,OMIM:616684,OMIM:606595,OMIM:614436,OMIM:118220,OMIM:601472,OMIM:614455,OMIM:615490,OMIM:607684,OMIM:607677,OMIM:118210,OMIM:302800,OMIM:616039,OMIM:607731,OMIM:606482,OMIM:605285,OMIM:617017,OMIM:145900
Q431	OMIM:600156
G10	OMIM:143100
D805	OMIM:608106,OMIM:608184,OMIM:605258
D800	OMIM:300755,OMIM:613506,OMIM:300310,OMIM:613502,OMIM:613500,OMIM:613501,OMIM:616941,OMIM:601495,OMIM:612692,OMIM:615214
E250	OMIM:201810,OMIM:202110,OMIM:202010,OMIM:201910
G901	OMIM:223900
Q823	OMIM:308300,OMIM:300337
Q8740,Q87410,Q87418,Q8742,Q8743	OMIM:154700
Q8781	OMIM:104200,OMIM:203780,OMIM:301050
E3121	OMIM:131100
E3122	OMIM:171400
E3123	OMIM:162300
Q8500,Q8501,Q8502,Q8503	OMIM:162200,OMIM:162270,OMIM:162210,OMIM:162260,OMIM:101000
Q851	OMIM:191100,OMIM:613254
Q786	OMIM:133700,OMIM:133701,OMIM:600209
F842	OMIM:312750
D821,Q9381	OMIM:188400,OMIM:192430
D820	OMIM:301000,OMIM:600903,OMIM:614493
D81810	OMIM:253260
Q6111,Q6119,Q612,Q613	OMIM:613095,OMIM:263200,OMIM:617610,OMIM:618061,OMIM:600666
Q780	OMIM:301014,OMIM:613848,OMIM:259420,OMIM:616507,OMIM:613849,OMIM:166220,OMIM:615066,OMIM:610967,OMIM:166230,OMIM:617952,OMIM:610682,OMIM:166210,OMIM:615220,OMIM:613982,OMIM:616229,OMIM:614856,OMIM:610915,OMIM:166200,OMIM:259440,OMIM:610968
D810,D811,D812	OMIM:602450,OMIM:603554,OMIM:615615,OMIM:608971,OMIM:300400,OMIM:600802,OMIM:615617,OMIM:601457
D813	OMIM:102700
D814	OMIM:242700
D815	OMIM:613179
D5700,D5701,D5702,D571,D5720,D57211,D57212,D57219,D57411,D57412,D57419,D5780,D57811,D57812,D57819	OMIM:603903
D560	OMIM:604131
D561	OMIM:613985
Q933	OMIM:194190
Q771	OMIM:273680,OMIM:187600,OMIM:187601
Q775	OMIM:222600
G601	OMIM:266500
Q761	OMIM:214300,OMIM:613702,OMIM:118100,OMIM:616549
G512	OMIM:155900
G230	OMIM:614298,OMIM:610217,OMIM:234200,OMIM:300894,OMIM:615643,OMIM:606159,OMIM:617917,OMIM:617916,OMIM:606159,OMIM:617916
M041	OMIM:249100
A8183	OMIM:600072
G120	OMIM:253300
E7251	OMIM:605899
Q773	OMIM:302950,OMIM:118650,OMIM:302960,OMIM:118651
Q751	OMIM:123500
G3181	OMIM:203700
Q783	OMIM:606631,OMIM:131300
D644	OMIM:613673,OMIM:224100,OMIM:224120,OMIM:105600,OMIM:615631
G723	OMIM:170600,OMIM:613345,OMIM:170500,OMIM:170400
Q754	OMIM:248390,OMIM:610536,OMIM:602562,OMIM:613717,OMIM:608257,OMIM:301950,OMIM:154500
G3182	OMIM:256000
E2602	OMIM:103900
D750	OMIM:133100,OMIM:222800,OMIM:263400,OMIM:611783,OMIM:609820,OMIM:617907
D581	OMIM:130600
D704	OMIM:162800
E201	OMIM:103580,OMIM:603233,OMIM:203330,OMIM:612462
D840	OMIM:116920
